Cromosoma,Turno,Empleado ID,Area
1,1,8,Limpieza
1,1,16,Limpieza
1,1,18,Mesero
1,1,7,Mesero
1,1,1,Limpieza
1,1,29,Limpieza
1,1,4,Limpieza
1,1,21,Limpieza
1,1,19,Cocina
1,1,21,Mesero
1,2,8,Mesero
1,2,11,Limpieza
1,2,26,Limpieza
1,2,12,Cocina
1,2,7,Mesero
1,2,9,Cocina
1,2,2,Mesero
1,2,1,Mesero
1,2,30,Limpieza
1,2,27,Limpieza
1,3,8,Limpieza
1,3,16,Limpieza
1,3,18,Mesero
1,3,7,Mesero
1,3,1,Limpieza
1,3,29,Limpieza
1,3,4,Limpieza
1,3,21,Limpieza
1,3,19,Cocina
1,3,21,Mesero
1,4,9,Limpieza
1,4,18,Cocina
1,4,21,Limpieza
1,4,29,Limpieza
1,4,13,Cocina
1,4,9,Mesero
1,4,16,Limpieza
1,4,20,Mesero
1,4,15,Limpieza
1,4,12,Limpieza
1,5,1,Limpieza
1,5,14,Cocina
1,5,20,Mesero
1,5,28,Limpieza
1,5,2,Limpieza
1,5,18,Mesero
1,5,10,Cocina
1,5,7,Cocina
1,5,29,Limpieza
1,5,24,Cocina
1,6,1,Limpieza
1,6,14,Cocina
1,6,20,Mesero
1,6,28,Limpieza
1,6,2,Limpieza
1,6,18,Mesero
1,6,10,Cocina
1,6,7,Cocina
1,6,29,Limpieza
1,6,24,Cocina
1,7,23,Mesero
1,7,24,Limpieza
1,7,25,Mesero
1,7,9,Limpieza
1,7,15,Mesero
1,7,22,Limpieza
1,7,27,Mesero
1,7,5,Cocina
1,7,28,Cocina
1,7,6,Mesero
1,8,28,Cocina
1,8,25,Mesero
1,8,25,Limpieza
1,8,30,Cocina
1,8,2,Mesero
1,8,6,Mesero
1,8,3,Limpieza
1,8,24,Limpieza
1,8,9,Cocina
1,8,15,Cocina
1,9,19,Limpieza
1,9,4,Mesero
1,9,18,Cocina
1,9,27,Cocina
1,9,7,Limpieza
1,9,25,Limpieza
1,9,24,Limpieza
1,9,3,Mesero
1,9,5,Mesero
1,9,27,Mesero
1,10,28,Cocina
1,10,25,Mesero
1,10,25,Limpieza
1,10,30,Cocina
1,10,2,Mesero
1,10,6,Mesero
1,10,3,Limpieza
1,10,24,Limpieza
1,10,9,Cocina
1,10,15,Cocina
1,11,25,Cocina
1,11,20,Mesero
1,11,5,Mesero
1,11,19,Mesero
1,11,14,Mesero
1,11,8,Mesero
1,11,26,Limpieza
1,11,1,Cocina
1,11,27,Mesero
1,11,23,Mesero
1,12,12,Mesero
1,12,22,Cocina
1,12,30,Cocina
1,12,8,Cocina
1,12,4,Cocina
1,12,3,Limpieza
1,12,26,Limpieza
1,12,11,Mesero
1,12,25,Cocina
1,12,23,Cocina
1,13,12,Mesero
1,13,22,Cocina
1,13,30,Cocina
1,13,8,Cocina
1,13,4,Cocina
1,13,3,Limpieza
1,13,26,Limpieza
1,13,11,Mesero
1,13,25,Cocina
1,13,23,Cocina
1,14,2,Limpieza
1,14,13,Limpieza
1,14,30,Cocina
1,14,17,Limpieza
1,14,18,Mesero
1,14,19,Limpieza
1,14,12,Limpieza
1,14,13,Limpieza
1,14,7,Cocina
1,14,3,Mesero
2,1,8,Limpieza
2,1,16,Limpieza
2,1,18,Mesero
2,1,7,Mesero
2,1,1,Limpieza
2,1,29,Limpieza
2,1,4,Limpieza
2,1,21,Limpieza
2,1,19,Cocina
2,1,21,Mesero
2,2,8,Mesero
2,2,11,Limpieza
2,2,26,Limpieza
2,2,12,Cocina
2,2,7,Mesero
2,2,9,Cocina
2,2,2,Mesero
2,2,1,Mesero
2,2,30,Limpieza
2,2,27,Limpieza
2,3,8,Limpieza
2,3,16,Limpieza
2,3,18,Mesero
2,3,7,Mesero
2,3,1,Limpieza
2,3,29,Limpieza
2,3,4,Limpieza
2,3,21,Limpieza
2,3,19,Cocina
2,3,21,Mesero
2,4,9,Limpieza
2,4,18,Cocina
2,4,21,Limpieza
2,4,29,Limpieza
2,4,13,Cocina
2,4,9,Mesero
2,4,16,Limpieza
2,4,20,Mesero
2,4,15,Limpieza
2,4,12,Limpieza
2,5,1,Limpieza
2,5,14,Cocina
2,5,20,Mesero
2,5,28,Limpieza
2,5,2,Limpieza
2,5,18,Mesero
2,5,10,Cocina
2,5,7,Cocina
2,5,29,Limpieza
2,5,24,Cocina
2,6,1,Limpieza
2,6,14,Cocina
2,6,20,Mesero
2,6,28,Limpieza
2,6,2,Limpieza
2,6,18,Mesero
2,6,10,Cocina
2,6,7,Cocina
2,6,29,Limpieza
2,6,24,Cocina
2,7,23,Mesero
2,7,24,Limpieza
2,7,25,Mesero
2,7,9,Limpieza
2,7,15,Mesero
2,7,22,Limpieza
2,7,27,Mesero
2,7,5,Cocina
2,7,28,Cocina
2,7,6,Mesero
2,8,28,Cocina
2,8,25,Mesero
2,8,25,Limpieza
2,8,30,Cocina
2,8,2,Mesero
2,8,6,Mesero
2,8,3,Limpieza
2,8,24,Limpieza
2,8,9,Cocina
2,8,15,Cocina
2,9,19,Limpieza
2,9,4,Mesero
2,9,18,Cocina
2,9,27,Cocina
2,9,7,Limpieza
2,9,25,Limpieza
2,9,24,Limpieza
2,9,3,Mesero
2,9,5,Mesero
2,9,27,Mesero
2,10,28,Cocina
2,10,25,Mesero
2,10,25,Limpieza
2,10,30,Cocina
2,10,2,Mesero
2,10,6,Mesero
2,10,3,Limpieza
2,10,24,Limpieza
2,10,9,Cocina
2,10,15,Cocina
2,11,25,Cocina
2,11,20,Mesero
2,11,5,Mesero
2,11,19,Mesero
2,11,14,Mesero
2,11,8,Mesero
2,11,26,Limpieza
2,11,1,Cocina
2,11,27,Mesero
2,11,23,Mesero
2,12,12,Mesero
2,12,22,Cocina
2,12,30,Cocina
2,12,8,Cocina
2,12,4,Cocina
2,12,3,Limpieza
2,12,26,Limpieza
2,12,11,Mesero
2,12,25,Cocina
2,12,23,Cocina
2,13,12,Mesero
2,13,22,Cocina
2,13,30,Cocina
2,13,8,Cocina
2,13,4,Cocina
2,13,3,Limpieza
2,13,26,Limpieza
2,13,11,Mesero
2,13,25,Cocina
2,13,23,Cocina
2,14,2,Limpieza
2,14,13,Limpieza
2,14,30,Cocina
2,14,17,Limpieza
2,14,18,Mesero
2,14,19,Limpieza
2,14,12,Limpieza
2,14,13,Limpieza
2,14,7,Cocina
2,14,3,Mesero
